"","SUBJECT.NAME","Obesity.BMI","Obesity.BodyLength","Obesity.Date.Month","Obesity.Date.Year","Obesity.Date.Season","Obesity.Date.StudyStartSeconds","Obesity.Date.Hour","Obesity.Date.StudyDay","GENDER","Obesity.EndNormalBW","CoatColour","CageDensity","Litter","cage","Biochem.Albumin","Biochem.ALP","Biochem.ALT","Biochem.AST","Biochem.Calcium","Biochem.Chloride","Biochem.Creatinine","Biochem.Glucose","Biochem.HDL","Biochem.LDL","Biochem.Phosphorous","Biochem.Potassium","Biochem.Sodium","Biochem.Tot.Cholesterol","Biochem.Tot.Protein","Biochem.Triglycerides","Biochem.Urea","Biochem.EndNormalBW","Biochem.Date.StudyDay","Biochem.Date.Season","Biochem.Date.Month","Biochem.Date.Year","Biochem.Age"
"344","A052553296",-0.418790147645158,8,7,2003,"summer",15724800,0,183,"M",31.6,"chocolate",4,3,"30B",31.3,126,26,NA,2.07,96,19,NA,1.77,0.42,2.38,NA,138,3.39,54.6,NA,5.4,31.6,215,"summer",8,2003,63
"345","A052553589",-0.528297964434567,6.7,6,2003,"summer",11491200,0,134,"F",16.6,"black",6,2,"23G",25.8,101,63,NA,1.71,93,NA,4.02,1.16,0.28,2.84,NA,123,2.6,42.2,0.11,8.3,16.6,166,"summer",7,2003,68
"346","A052554317",-0.531833587933264,7,6,2003,"summer",12700800,0,148,"F",19,"chocolate",6,2,"25G",31.1,131,29,115,1.99,87,18,10.39,2.06,0.54,2.7,NA,126,3.78,53.6,0.31,10,19,180,"summer",7,2003,65
"347","A052555539",-0.360226643780039,7.6,7,2003,"summer",16329600,0,190,"M",29,"black",6,2,"31A",25.3,130,24,53,2.03,97,23,13.12,2.28,0.42,2.12,NA,137,3.4,45.4,1.33,7,29,221,"summer",8,2003,67
"348","A052556361",-0.41137916622742,7.6,5,2003,"spring",10281600,0,120,"M",26.4,"black",4,1,"21C",27.7,129,26,78,1.98,99,NA,7.26,2.02,0.44,2.25,NA,130,3.27,49.8,0.32,8.9,26.4,151,"summer",6,2003,63
"349","A052569537",-0.438824052957868,8,7,2003,"summer",14515200,0,169,"M",28.8,"dark.brown",3,1,"28C",33.8,NA,38,423,2.17,95,NA,5.6,2.21,0.46,3.32,NA,125,4.54,61.1,0.49,7.9,28.8,202,"summer",8,2003,65
"350","A052589120",-0.454810067740765,7.9,7,2003,"summer",15120000,0,176,"M",27,"dark.brown",5,2,"29B",28,103,65,372,1.8,97,20,6.87,1.84,0.4,3.14,NA,137,3.92,50.1,0.3,9.1,27,208,"summer",8,2003,65
"351","A052589333",-0.486556264408109,8.1,7,2003,"summer",15724800,0,183,"M",25.8,"dark.brown",5,3,"30C",31.3,132,30,136,2.18,96,NA,11.55,2.29,0.41,3.1,NA,138,3.94,55.5,NA,8.5,25.8,215,"summer",8,2003,64
"352","A052592018",-0.450861908895772,7.9,5,2003,"spring",10886400,0,127,"M",27.5,"black",5,1,"22C",28.4,113,49,178,1.82,87,22,6.11,1.73,0.36,2.5,NA,121,3.66,52,0.37,7,27.5,158,"summer",6,2003,65
"353","A052597567",-0.444601846906226,7.7,6,2003,"summer",13305600,0,155,"M",24.9,"chocolate",4,2,"26C",29.9,153,28,79,NA,104,24,11.77,2.75,0.57,2.27,NA,140,4.03,NA,0.66,NA,24.9,186,"summer",7,2003,65
"354","A052598083",-0.434389648884436,7.3,6,2003,"summer",12096000,0,141,"F",22,"black",4,1,"24D",27.5,100,47,401,1.69,83,NA,10.52,0.86,0.3,2.77,NA,118,2.62,46,0.94,4.6,22,173,"summer",7,2003,72
"355","A052602081",-0.462001635288708,7.4,7,2003,"summer",15724800,0,183,"F",22.5,"chocolate",4,5,"30E",31.4,194,33,127,2.09,97,23,13.58,1.53,0.29,1.98,NA,137,2.73,51.9,0.24,6.3,22.5,214,"summer",8,2003,66
"356","A052609588",-0.494877377951207,6.3,6,2003,"summer",11491200,0,134,"F",15.9,"black",6,2,"23G",27.8,129,59,NA,1.67,87,NA,4.97,1.54,0.3,2.68,NA,119,3.3,45.8,0.21,7.7,15.9,166,"summer",7,2003,68
"357","A052610048",-0.378845105064804,6.9,6,2003,"summer",12700800,0,148,"F",22.6,"chocolate",6,1,"25F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","A052616855",-0.492312753614734,8,8,2003,"summer",16934400,0,197,"F",24.4,"black",4,2,"32F",33.3,174,28,107,2.18,97,NA,6.16,0.74,0.28,2.78,NA,134,1.86,50.7,0.11,8.5,24.4,229,"autumn",9,2003,66
"359","A052618008",-0.352268679103988,7.1,6,2003,"summer",13305600,0,155,"M",25.1,"dark.brown",4,2,"26B",28.2,149,29,111,NA,96,22,9.02,2.08,0.57,2.58,NA,131,3.51,NA,0.43,NA,25.1,186,"summer",7,2003,67
"360","A052619346",-0.425378257018977,7,6,2003,"summer",11491200,0,134,"F",19.5,"chocolate",4,1,"23E",27.7,85,NA,NA,1.88,94,20,9.63,1.42,0.37,3,NA,124,2.66,47.9,0.2,5.7,19.5,166,"summer",7,2003,65
"361","A052619562",-0.528948424919321,7.4,8,2003,"summer",16934400,0,197,"F",18.7,"black",5,3,"32H",28.6,134,33,183,1.84,90,NA,6.37,0.99,0.3,3.19,NA,122,2.47,45.4,0.31,9.4,18.7,229,"autumn",9,2003,66
"362","A052620834",-0.424676587296803,7.7,6,2003,"summer",13305600,0,155,"M",29.1,"dark.brown",4,2,"26B",32.2,116,25,90,NA,109,25,11.56,1.88,0.43,2.71,NA,146,3.01,NA,0.62,NA,29.1,186,"summer",7,2003,67
"363","A052621017",-0.448245126983433,8,6,2003,"summer",12700800,0,148,"M",28.3,"albino",4,3,"25A",30.2,94,24,114,2.01,93,26,12.57,2.04,0.44,2.3,NA,127,3.62,55.5,0.65,7.5,28.3,179,"summer",7,2003,65
"364","A052623359",-0.482950798380386,7.5,6,2003,"summer",13305600,0,155,"F",21,"chocolate",4,2,"26E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","A052623584",-0.490177460638048,6.9,6,2003,"summer",13305600,0,155,"F",16.2,"light.brown",4,2,"26H",33.3,102,41,121,NA,87,NA,4.54,0.82,NA,NA,NA,120,3.37,NA,NA,NA,16.2,187,"summer",7,2003,67
"366","A052624066",-0.518378244053661,8,6,2003,"summer",13910400,0,162,"F",22.4,"black",6,5,"27F",27.6,NA,54,360,2.01,99,NA,6.12,1.39,0.25,2.65,NA,135,2.18,45.1,0.31,5.8,22.4,194,"summer",8,2003,68
"367","A052624514",-0.499861261018596,6.7,6,2003,"summer",12700800,0,148,"F",19,"chocolate",6,2,"25G",29.3,102,75,397,1.76,83,NA,10.04,0.96,0.37,2.73,NA,116,3.01,48,NA,6.5,19,180,"summer",7,2003,65
"368","A052624782",-0.447493264459523,7.2,6,2003,"summer",13305600,0,155,"F",24,"black",4,2,"26F",29.6,96,80,297,NA,97,NA,11.01,1.24,0.36,3.23,NA,132,NA,NA,0.28,NA,24,187,"summer",7,2003,65
"369","A052625275",-0.419387739455584,8.2,8,2003,"summer",16934400,0,197,"M",30.6,"dark.brown",2,1,"32C",36.5,122,64,160,2.26,101,19,NA,1.84,0.63,2.71,NA,145,4.21,NA,0.22,10,30.6,228,"autumn",9,2003,67
"370","A052628570",-0.396404493288452,7.7,6,2003,"summer",12700800,0,148,"M",30.4,"albino",5,2,"25D",26.2,137,27,93,1.92,91,24,11.26,1.99,0.34,2.13,NA,125,3.29,49.5,0.42,10.2,30.4,179,"summer",7,2003,65
"371","A052629363",-0.406499434129858,7.3,6,2003,"summer",13910400,0,162,"M",29.4,"chocolate",6,4,"27A",29.8,157,29,84,NA,98,21,14.01,2.32,0.52,NA,NA,134,4.01,NA,0.4,NA,29.4,192,"summer",7,2003,64
"372","A052631282",-0.450154116790764,8,6,2003,"summer",13305600,0,155,"M",26.2,"chocolate",3,2,"26D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","A052634603",-0.449663666458257,7.1,6,2003,"summer",13305600,0,155,"M",22.1,"dark.brown",3,2,"26D",29.8,191,32,165,NA,96,17,7.7,NA,NA,3.02,NA,132,3.93,NA,0.57,NA,22.1,186,"summer",7,2003,66
"374","A052634623",-0.564081117340906,7.8,6,2003,"summer",13910400,0,162,"F",19.4,"chocolate",4,2,"27D",28.6,118,NA,NA,NA,93,NA,6.61,NA,0.47,1.89,NA,126,2.83,NA,NA,NA,19.4,194,"summer",8,2003,66
"375","A052634816",-0.438527699194033,7.7,6,2003,"summer",12096000,0,141,"M",26.4,"dark.brown",6,2,"24A",28.9,100,NA,265,2.06,96,23,12.01,1.68,0.37,2.17,NA,130,2.82,51.8,0.42,9.7,26.4,172,"summer",7,2003,65
"376","A052635259",-0.44500616424672,7.9,6,2003,"summer",12096000,0,141,"M",28.8,"silverado",5,3,"24B",27.8,116,NA,187,1.97,92,21,7.58,2.14,0.53,2.32,NA,127,3.73,52.3,0.42,11.5,28.8,172,"summer",7,2003,65
"377","A052638360",-0.433003753220234,7.1,7,2003,"summer",15724800,0,183,"F",21,"chocolate",4,3,"30F",31.5,131,31,110,2.28,94,20,NA,1.84,0.29,2.1,NA,142,3.05,55.4,0.38,6.9,21,214,"summer",8,2003,64
"378","A052780082",-0.548660758473412,7.8,7,2003,"summer",15724800,0,183,"M",21.9,"dark.brown",5,3,"30C",32.1,161,25,166,2.06,97,24,13.23,2.49,0.37,2.4,NA,137,3.92,55.2,0.17,7.1,21.9,215,"summer",8,2003,64
"379","A052781842",-0.54329665075155,7.5,6,2003,"summer",13910400,0,162,"F",19.3,"black",6,1,"27E",25.6,NA,NA,385,1.89,94,NA,10.53,0.87,0.23,2.56,NA,129,1.88,42.2,0.33,8.4,19.3,194,"summer",8,2003,67
"380","A052781845",-0.449646831745914,7,5,2003,"spring",10886400,0,127,"F",20,"light.brown",5,1,"22E",29.7,83,70,355,1.63,80,20,10.54,0.91,0.37,2.59,NA,112,2.89,48.5,NA,7.5,20,159,"summer",6,2003,66
"381","A052782850",-0.362482474751174,7.2,6,2003,"summer",13910400,0,162,"M",24,"chocolate",6,2,"27C",28.9,103,43,218,NA,92,NA,10.15,1.94,0.41,NA,NA,126,3.76,NA,NA,NA,24,192,"summer",7,2003,65
"382","A052787883",-0.395729853866921,7,5,2003,"spring",10281600,0,120,"M",27.1,"black",4,1,"21C",31.9,118,25,102,2.12,95,NA,6.46,2.14,0.44,3.24,NA,126,3.55,56.2,0.57,8.2,27.1,151,"summer",6,2003,63
"383","A052792353",-0.30776337832295,6.5,7,2003,"summer",15120000,0,176,"M",27.7,"black",5,4,"29A",28.9,78,71,407,1.68,98,20,7,1.26,0.3,3.27,NA,125,3.21,47.1,0.38,8.2,27.7,208,"summer",8,2003,66
"384","A052795037",-0.40944466645022,7.6,7,2003,"summer",15120000,0,176,"M",27.2,"black",5,4,"29A",29.1,141,40,114,1.99,NA,20,9.73,1.69,0.39,2.54,NA,135,3.07,50.7,0.58,5.6,27.2,208,"summer",8,2003,66
"385","A052796857",-0.429976240672346,7.5,7,2003,"summer",15724800,0,183,"M",24.3,"DBA.grey",3,3,"30D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","A052798557",-0.438824052957868,8,6,2003,"summer",13305600,0,155,"M",27.4,"black",4,3,"26A",27.8,142,29,68,NA,102,22,7.22,1.91,0.36,1.98,NA,133,2.9,NA,0.28,NA,27.4,186,"summer",7,2003,67
"387","A052799267",-0.579654438405627,8.2,7,2003,"summer",16329600,0,190,"F",20.8,"black",4,3,"31F",34.3,133,35,158,1.94,87,NA,7.05,1.51,0.52,2.78,NA,120,3.65,54.7,NA,10.5,20.8,222,"summer",8,2003,68
"388","A052799328",-0.414714967507925,7.1,6,2003,"summer",13910400,0,162,"F",23.1,"chocolate",4,2,"27D",25.5,NA,NA,369,1.92,96,NA,10.15,0.95,0.29,2.21,NA,132,2.14,43.3,0.11,7,23.1,194,"summer",8,2003,66
"389","A052800382",-0.527468782530814,7.7,6,2003,"summer",13910400,0,162,"F",20.5,"chocolate",6,1,"27E",30.2,NA,48,252,2.06,76,NA,11.79,1.22,0.38,2.49,NA,NA,3.01,51.9,0.74,7.5,20.5,194,"summer",8,2003,67
"390","A052801541",-0.392140872466737,6.9,5,2003,"spring",10281600,0,120,"F",21.4,"albino",6,1,"21G",27.9,94,22,112,2.12,97,20,11.47,1.36,0.3,2.74,NA,129,2.25,47,0.3,8.2,21.4,152,"summer",6,2003,67
"391","A052808283",-0.49475074302338,8.1,7,2003,"summer",15724800,0,183,"F",24.1,"chocolate",4,5,"30E",32.3,149,31,100,2.19,95,20,13.9,1.76,0.37,1.83,NA,141,3.08,51.6,0.18,6.6,24.1,214,"summer",8,2003,66
"392","A052811355",-0.471592573199065,7.6,6,2003,"summer",12700800,0,148,"F",22.2,"chocolate",6,1,"25F",30.8,111,65,139,2.1,97,19,11.06,1.7,0.58,2.73,NA,130,1.4,53.7,0.19,6.6,22.2,180,"summer",7,2003,65
"393","A052812594",-0.498631896373187,7.8,7,2003,"summer",16329600,0,190,"F",22.6,"dark.brown",4,2,"31E",29.8,123,37,177,1.92,86,NA,6.91,1.1,0.3,2.08,NA,118,2.33,45.9,NA,6.7,22.6,222,"summer",8,2003,68
"394","A052819094",-0.552598875744374,8.3,6,2003,"summer",12700800,0,148,"F",22.6,"albino",4,2,"25E",23.8,114,25,79,1.99,90,19,13.42,1.49,0.35,2.01,NA,127,2.54,43.1,0.3,5,22.6,180,"summer",7,2003,66
"395","A052828076",-0.489902813134259,7.9,7,2003,"summer",16329600,0,190,"F",22.4,"chocolate",4,2,"31G",30.4,124,NA,262,2.02,92,NA,8.72,1.99,0.38,2.8,NA,128,3.34,50.6,0.34,5.9,22.4,222,"summer",8,2003,68
"396","A052838073",-0.480593817313855,7.6,6,2003,"summer",12096000,0,141,"M",24.7,"chocolate",6,2,"24A",28.6,142,37,84,2.15,101,21,9.29,1.96,0.35,2.43,NA,135,2.87,50.7,0.48,6.9,24.7,172,"summer",7,2003,65
"397","A052842597",-0.517017476977947,7.8,8,2003,"summer",16934400,0,197,"F",21.2,"black",5,3,"32H",30.1,142,32,168,2.02,90,NA,8.15,1.05,0.32,3.57,NA,123,2.66,48,0.3,9.4,21.2,229,"autumn",9,2003,66
"398","A052844109",-0.502998111224407,7.9,6,2003,"summer",11491200,0,134,"F",23.5,"albino",6,2,"23F",33.2,107,22,95,2.15,97,17,5.97,1.44,0.34,2.88,NA,132,2.7,54.3,0.18,7.7,23.5,166,"summer",7,2003,65
"399","A052845832",-0.431363764158987,8.1,6,2003,"summer",12700800,0,148,"M",30.7,"black",4,1,"25B",27.9,164,51,155,2,96,20,8.99,2.48,0.51,2.67,NA,131,3.83,50.2,0.92,8.3,30.7,179,"summer",7,2003,64
"400","A052846805",-0.462320796853174,7.5,7,2003,"summer",15724800,0,183,"F",23.9,"chocolate",4,3,"30F",29.5,138,31,117,2.13,96,19,8.86,2.03,0.36,2.29,NA,138,3.2,50.6,0.51,5.9,23.9,214,"summer",8,2003,64
"401","A052848257",-0.583066578176925,7.9,8,2003,"summer",16934400,0,197,"F",19.1,"black",3,3,"32G",30.8,170,25,96,2.12,95,17,11.28,1.07,0.39,2.7,NA,131,2.21,47.2,0.2,8.1,19.1,229,"autumn",9,2003,68
"402","A052849123",-0.554801308529733,7.6,5,2003,"spring",10886400,0,127,"F",19.7,"chocolate",5,1,"22E",28.7,73,NA,NA,1.59,82,21,10.46,0.83,0.33,2.41,NA,114,2.74,45,NA,7.5,19.7,159,"summer",6,2003,66
"403","A052851552",-0.490490173100146,7.4,6,2003,"summer",11491200,0,134,"F",20.5,"light.brown",6,2,"23F",30.2,90,NA,403,2,92,21,5.41,1.48,0.52,2.92,NA,127,3.59,51.8,NA,8.2,20.5,166,"summer",7,2003,65
"404","A052852067",-0.511207182252689,7.6,7,2003,"summer",15724800,0,183,"M",21.4,"black",5,3,"30C",31.5,155,32,147,2.12,97,20,11.12,2.24,0.55,2.47,NA,138,3.7,53.5,0.83,10,21.4,215,"summer",8,2003,64
"405","A052852070",-0.445610662192565,8.2,6,2003,"summer",12096000,0,141,"M",31.7,"chocolate",5,3,"24B",27.7,117,31,75,2.09,100,20,9.35,2.07,0.48,2.39,NA,136,3.2,48.4,0.42,9.4,31.7,172,"summer",7,2003,65
"406","A052853802",-0.378845105064804,6.9,7,2003,"summer",14515200,0,169,"M",22,"light.brown",6,1,"28B",32.2,NA,NA,NA,1.72,90,NA,3.76,1.35,0.41,2.59,NA,113,4.35,55,NA,7.1,22,202,"summer",8,2003,65
"407","A052854269",-0.518009898641094,8.3,7,2003,"summer",15724800,0,183,"M",24.9,"DBA.grey",3,3,"30D",30.5,NA,49,92,2.1,104,23,8.11,1.21,0.35,2.39,NA,130,2.65,50,0.98,6.9,24.9,215,"summer",8,2003,66
"408","A052856103",-0.446207368105476,7.4,5,2003,"spring",10886400,0,127,"M",26,"black",7,1,"22B",35,116,37,191,2,87,24,10.89,1.98,0.65,2.82,NA,123,4.93,NA,0.53,6.5,26,158,"summer",6,2003,66
"409","A052857123",-0.431431627973783,8,6,2003,"summer",13305600,0,155,"M",27.3,"black",4,3,"26A",29.5,136,19,65,NA,105,21,7.84,1.93,0.41,2.22,NA,139,2.87,NA,0.34,NA,27.3,186,"summer",7,2003,67
"410","A052857857",-0.459392487759231,8.4,6,2003,"summer",13910400,0,162,"M",28.8,"chocolate",6,2,"27C",27.8,110,28,117,NA,100,18,10.98,1.83,0.33,2.49,NA,135,2.99,NA,1,NA,28.8,192,"summer",7,2003,65
"411","A052858890",-0.374137093999413,7.1,6,2003,"summer",12096000,0,141,"M",27.9,"light.brown",6,2,"24A",30,85,33,136,2.06,96,21,6.99,2.21,0.4,2.32,NA,129,3.79,55.6,0.79,7.7,27.9,172,"summer",7,2003,65
"412","A052861821",-0.45377543203177,7.8,6,2003,"summer",12096000,0,141,"M",26.7,"chocolate",6,2,"24A",28.4,132,59,162,2.06,95,19,7.65,2.08,0.39,2.59,NA,129,3.5,53.2,0.49,9.4,26.7,172,"summer",7,2003,65
"413","A052862319",-0.456275815114959,7.6,6,2003,"summer",12096000,0,141,"F",23.9,"albino",7,4,"24F",33.4,51,33,162,2.02,90,18,12.24,2.04,0.42,2.86,NA,127,3.9,59.3,0.22,7.3,23.9,173,"summer",7,2003,71
"414","A052863022",-0.36258527851113,7.8,7,2003,"summer",16329600,0,190,"M",28.4,"chocolate",6,2,"31A",30.1,105,32,125,1.88,97,23,11.7,1.53,0.57,2.71,NA,137,4.82,54.8,0.13,5.7,28.4,221,"summer",8,2003,67
"415","A052870852",-0.394518706751483,7.2,7,2003,"summer",14515200,0,169,"F",25.6,"light.brown",5,1,"28G",31.6,184,20,95,2.09,93,18,8.85,1.28,0.4,2.64,NA,129,2.39,50.5,0.31,5.7,25.6,201,"summer",8,2003,64
"416","A052873779",-0.433247581122845,7.6,6,2003,"summer",11491200,0,134,"M",23.1,"albino",4,2,"23B",31,NA,31,121,1.94,94,NA,6.73,1.53,0.34,2.14,NA,127,3.5,55,0.24,5.2,23.1,165,"summer",7,2003,66
"417","A052877118",-0.407518745414182,7.6,7,2003,"summer",15724800,0,183,"M",28.9,"chocolate",4,3,"30B",25.9,129,21,76,2.04,96,20,10.23,2.08,0.32,2.07,NA,128,3.15,47.2,0.65,6,28.9,215,"summer",8,2003,63
"418","A052888127",-0.478280920246901,7.5,7,2003,"summer",16329600,0,190,"M",23,"black",6,3,"31B",28.6,133,35,125,1.88,97,18,6.8,1.88,0.46,3.23,NA,137,3.92,49.7,0.27,9.5,23,221,"summer",8,2003,67
"419","A052888590",-0.544326476063884,8.2,6,2003,"summer",13305600,0,155,"F",18.9,"dark.brown",4,1,"26G",30.3,90,52,308,NA,100,18,4.84,1.96,0.42,2.7,NA,134,3.37,NA,0.32,NA,18.9,187,"summer",7,2003,67
"420","A052888591",-0.412127578533201,7.4,6,2003,"summer",13910400,0,162,"M",26.6,"lead",6,4,"27A",33.3,164,73,155,NA,104,26,NA,2.71,0.64,1.89,8.5,142,3.91,NA,0.8,NA,26.6,192,"summer",7,2003,64
"421","A052892316",-0.441798249200421,7.4,6,2003,"summer",12096000,0,141,"F",23.9,"light.brown",3,3,"24G",32.1,167,34,121,2.21,97,17,8.65,1.26,0.42,2.96,NA,134,2.46,53.7,0.17,7.2,23.9,173,"summer",7,2003,66
"422","A052892872",-0.419149682327699,7.3,5,2003,"spring",10281600,0,120,"F",23.6,"light.brown",5,2,"21F",28.6,153,71,299,1.91,92,17,5.79,1.13,0.34,2.47,NA,123,2.28,45.9,0.21,7.5,23.6,152,"summer",6,2003,67
"423","A052893788",-0.442222813666707,7,6,2003,"summer",12700800,0,148,"F",18.9,"albino",4,2,"25E",25.6,116,20,79,2.09,92,20,NA,1.08,0.3,1.87,NA,127,1.96,44.4,0.32,6.4,18.9,180,"summer",7,2003,66
"424","A053002052",-0.442169734566962,6.9,7,2003,"summer",15724800,0,183,"F",19.8,"black",4,2,"30G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","A053013093",-0.460271783741414,8.2,7,2003,"summer",15724800,0,183,"M",27.6,"chocolate",4,3,"30B",24.1,139,38,102,2,97,25,13.83,1.6,0.31,1.84,NA,138,2.4,46.9,0.17,7.9,27.6,215,"summer",8,2003,63
"426","A053023380",-0.537575607711698,7.9,8,2003,"summer",16934400,0,197,"F",22.3,"black",5,3,"32H",28.8,100,29,128,1.89,88,NA,5.89,1.3,0.29,2.76,NA,121,3.04,46.4,0.14,8.3,22.3,229,"autumn",9,2003,66
"427","A053024601",-0.447754180347157,8.1,8,2003,"summer",16934400,0,197,"M",28.1,"light.brown",4,2,"32A",30.9,147,25,64,2.2,95,20,12.48,1.64,0.49,2.53,NA,131,2.85,49.9,0.65,7.1,28.1,228,"autumn",9,2003,66
"428","A053026587",-0.433941187046798,7.8,6,2003,"summer",13305600,0,155,"M",27.5,"dark.brown",4,2,"26B",28.6,90,33,142,NA,100,18,6.7,1.81,0.4,2.04,NA,131,3.41,NA,0.5,NA,27.5,186,"summer",7,2003,67
"429","A053026818",-0.485165380388339,7.6,6,2003,"summer",11491200,0,134,"F",20,"chocolate",4,1,"23E",28.7,84,81,417,1.83,93,20,10.41,1.38,0.39,1.9,NA,124,2.87,47.6,NA,5.3,20,166,"summer",7,2003,65
"430","A053027117",-0.469785392924475,7.7,7,2003,"summer",14515200,0,169,"F",24.3,"dark.brown",3,1,"28F",33.7,118,25,86,2.19,89,NA,11.02,1.56,0.42,3.58,NA,124,3.1,53.1,0.24,7.6,24.3,201,"summer",8,2003,66
"431","A053028102",-0.518792378407639,7.9,8,2003,"summer",16934400,0,197,"F",21.7,"albino",4,2,"32F",27.2,121,26,107,2.04,94,NA,5.12,1,0.27,3.2,NA,129,1.86,44.9,0.65,8.3,21.7,229,"autumn",9,2003,66
"432","A053029369",-0.467723480379282,8,7,2003,"summer",16329600,0,190,"F",19.7,"albino",4,2,"31G",28.4,89,76,327,1.8,94,NA,6,1.21,0.23,2.35,NA,129,2.4,43.5,0.15,8.8,19.7,222,"summer",8,2003,68
"433","A053029791",-0.585532118426538,7.8,7,2003,"summer",15724800,0,183,"F",18.7,"black",4,3,"30H",32.2,109,29,138,2.1,97,NA,12.27,1.52,0.47,2.75,NA,137,3.63,51.6,NA,6.9,18.7,214,"summer",8,2003,65
"434","A053030292",-0.390964407770095,7.7,6,2003,"summer",11491200,0,134,"M",27.7,"albino",4,2,"23B",32.1,81,34,106,2.16,90,20,2.92,NA,NA,2.88,NA,129,4.16,58,0.32,8,27.7,165,"summer",7,2003,66
"435","A053031772",-0.523412576044384,7.9,5,2003,"spring",10886400,0,127,"F",22.1,"dark.brown",4,1,"22D",NA,63,NA,NA,NA,85,18,7.26,0.66,0.19,2.4,NA,114,2.18,NA,NA,10.7,22.1,159,"summer",6,2003,66
"436","A053035844",-0.402003705613423,7.4,7,2003,"summer",15120000,0,176,"M",24.8,"black",4,1,"29C",29.9,116,31,93,2.11,97,23,NA,2.08,0.33,2.14,NA,137,3.14,52.4,NA,8.4,24.8,208,"summer",8,2003,68
"437","A053037776",-0.541151156694666,7.8,5,2003,"spring",10281600,0,120,"F",21.1,"black",6,1,"21G",30,75,55,193,1.91,91,18,8.94,1.71,0.28,2.3,NA,122,3.28,51.4,0.37,6.2,21.1,152,"summer",6,2003,67
"438","A053037880",-0.520304847495768,8.1,7,2003,"summer",14515200,0,169,"F",23.3,"dark.brown",3,1,"28F",29.8,107,32,133,2.07,87,21,NA,1.46,0.27,3.05,NA,124,2.65,47.1,0.27,10.4,23.3,201,"summer",8,2003,66
"439","A053042270",-0.475107896469829,7.9,7,2003,"summer",14515200,0,169,"F",25,"light.brown",5,1,"28G",36,187,33,125,1.99,83,20,10.52,1.47,0.48,2.87,NA,119,3.86,58.1,NA,9,25,201,"summer",8,2003,64
"440","A053044603",-0.562809881757897,8.2,7,2003,"summer",15120000,0,176,"M",20.3,"chocolate",5,2,"29B",30.3,185,32,110,2.13,97,20,9.1,2.37,0.43,2.8,NA,137,3.85,52.4,0.99,7.6,20.3,208,"summer",8,2003,65
"441","A053048603",-0.471626944176243,7.2,7,2003,"summer",16329600,0,190,"F",21.5,"chocolate",4,3,"31F",30.1,159,32,103,2.1,100,18,5.68,1.75,0.61,2.52,NA,136,3.1,49,0.23,NA,21.5,222,"summer",8,2003,68
"442","A053052635",-0.431642202688739,7.9,7,2003,"summer",14515200,0,169,"M",32.5,"light.brown",6,1,"28B",29.5,NA,33,109,2.11,97,NA,7.01,1.92,0.39,2.91,NA,133,3.94,55.2,0.67,8.6,32.5,202,"summer",8,2003,65
"443","A053053012",-0.503929249093328,7.3,6,2003,"summer",12096000,0,141,"F",19.6,"chocolate",7,4,"24F",30.4,92,32,115,2.09,95,21,9.42,1.64,0.31,3.34,NA,132,2.94,51.9,0.33,10.4,19.6,173,"summer",7,2003,71
"444","A053053096",-0.501555796576508,7.6,7,2003,"summer",15724800,0,183,"F",21.6,"chocolate",4,3,"30F",28,154,24,99,2.03,95,18,11.64,1.65,0.32,2.02,NA,140,2.8,50.2,0.36,4.4,21.6,214,"summer",8,2003,64
"445","A053054340",-0.343582346349445,7.5,6,2003,"summer",13910400,0,162,"M",30.8,"chocolate",6,2,"27C",28.4,112,24,76,NA,100,19,13.12,2.22,0.45,NA,NA,136,3.53,NA,1.21,NA,30.8,192,"summer",7,2003,65
"446","A053054528",-0.502983916563398,8,6,2003,"summer",11491200,0,134,"F",21.2,"chocolate",4,1,"23E",30,94,28,150,2.02,95,20,8.38,1.59,0.48,2.27,NA,127,3.34,52.4,0.16,5.7,21.2,166,"summer",7,2003,65
"447","A053057796",-0.457023910502713,6.4,6,2003,"summer",12700800,0,148,"F",19.6,"chocolate",6,2,"25G",28,146,26,162,2.02,93,20,7.84,0.79,0.47,3.03,NA,130,2.73,49.1,NA,8.3,19.6,180,"summer",7,2003,65
"448","A053058379",-0.495112708629003,6.1,6,2003,"summer",11491200,0,134,"F",14.6,"dark.brown",6,2,"23G",29.1,119,77,440,1.69,86,NA,3.44,1.05,0.25,2.48,NA,119,2.84,47.1,NA,6.8,14.6,166,"summer",7,2003,68
"449","A053059356",-0.485624015154984,7.9,5,2003,"spring",10886400,0,127,"M",23.3,"black",5,1,"22A",28.2,138,29,114,2.23,100,28,12.78,1.84,0.34,2.45,NA,137,2.94,50.7,0.91,8.6,23.3,158,"summer",6,2003,65
